Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CompanyLoyaltyRatio,PositionStagnationRatio,ManagementStabilityRatio,JobLevelSalaryRatio,DepartmentSalaryRatio,EducationReturnRatio
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0.04,0.0,0.0,0.9905011819204256,1.5480987972070235,1.4920371525332796
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0.6,0.3333333333333333,0.6666666666666666,0.787250337838954,0.34929337320775494,0.3366443349092982
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,1,Yes,17,3,1,1,2,0,2,1,0,0,0,0.5,0.0,0.0,1.2156810139463885,0.539382838845886,0.5198500486201925
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0.2,0.25,0.75,0.9946790841789712,0.7864440614719226,0.9702919083071487
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,1,No,23,4,4,1,6,3,3,5,4,0,4,0.8333333333333334,0.0,0.8,0.9698895456602975,0.4303281621606936,0.4147445930992858
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,1.0,1.0,0.0,0.8974079739905305,0.3981689728316295,0.3660498893831345
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,1.0,0.0,0.9,1.1304410567500824,0.990248305083061,0.9543882238540723
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0.2,0.0,0.0,1.0900941323403566,0.4836614711965176,0.4661465312007511
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,1.0,0.09090909090909091,0.7272727272727273,0.8040307451868753,0.7043180870880164,0.647502883099155
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,1,No,14,3,2,0,16,2,3,15,13,2,8,0.9375,0.13333333333333333,0.5333333333333333,0.7836755364479671,0.6196138850844016,0.6311104050460119
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0.0,1.0,1.0,1.3491555074594854,2.1086557557596692,1.9385568911953683
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0.3125,0.0,0.4,1.391835474060129,2.175362193031342,1.9998823224834663
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0.25,0.0,0.5,0.9125312774826629,0.7545261119088623,0.8063732050658518
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,1.0,0.3,0.0,0.9316142856753894,0.8160792302018924,0.9087733093335364
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,1.0,0.0,0.6666666666666666,1.0258654128904146,0.4551639717415549,0.43868101800623677
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0.041666666666666664,1.0,0.0,1.0429598520858945,1.471295586590721,1.6443846338715904
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0.7647058823529411,0.07692307692307693,0.6923076923076923,0.9685081015146606,0.8483976234385261,0.8176744123662945
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,1.0,0.2,0.6,0.7860381946051618,0.6885569002386236,0.6945955211929513
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0.16216216216216217,0.0,0.3333333333333333,0.7395144570899105,1.15582036895547,1.1139643899004124
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0.0,1.0,1.0,0.8331792545405885,0.3336603527750419,0.41166048073985007
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,0.4,0.0,0.75,0.7445507980929033,0.3303481082069697,0.30369992821671493
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,1.0,0.9090909090909091,0.7272727272727273,0.7545966668209553,0.6610146242290786,0.637077155215773
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,1.0,0.4444444444444444,0.7777777777777778,0.979805724896398,1.3822045363234832,1.5448125591572253
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,1.0,0.5,0.5,0.8709487215840808,2.1497303639126324,1.9763181352820731
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,1,Yes,22,4,4,0,11,2,1,10,7,1,0,0.9090909090909091,0.1,0.0,0.9888633102535689,0.7818458137161942,0.7963524382781426
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,1.0,0.18181818181818182,0.6363636363636364,0.9466989492944018,0.7485085174871633,0.8365660277211754
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,0.47619047619047616,0.9,0.5,1.087167741118542,1.6991833054905965,1.637650404050565
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,0.9166666666666666,0.45454545454545453,0.6363636363636364,0.910532105195806,0.7199131642562273,0.7332706700557792
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,0.25,0.0,0.75,1.3801214020814323,2.157053743660835,1.9830507601967569
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,1,No,21,4,1,1,4,2,2,3,2,0,2,0.75,0.0,0.6666666666666666,0.9085329329089489,0.7183325165901957,0.8028400024146969
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,1.0,0.0,0.8,0.7671369293476041,0.606537618029049,0.6476644200784629
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,1,No,13,3,3,0,38,1,2,37,10,1,8,0.9736842105263158,0.02702702702702703,0.21621621621621623,0.8947493642756698,1.9933404021082606,2.0303254960107324
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2,0.17647058823529413,0.3333333333333333,0.6666666666666666,0.37111907361473767,0.3250943792571721,0.31332166448714077
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2,0.42857142857142855,0.0,0.6666666666666666,0.7438331587694401,0.3115181497683871,0.30340720539433735
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0,1.0,0.0,0.0,1.060670920078372,0.47060675077580844,0.5240604569625309
